SMF_TYPE,SUBTYPE,SYSTEM_ID,JOB_NAME,JOB_ID,USER_ID,JOB_CLASS,READER_START_TS,LAST_RUN_TS,COMPLETION_CODE,CPU_SECONDS,STEP_COUNT
30,5,CARD,ACCTFILE,JOB00001,CARDUSR,A,2018-11-25T23:59:00,2018-11-26T00:00:00,0000,104,3
30,5,CARD,CARDFILE,JOB00002,CARDUSR,A,2025-09-19T23:52:00,2025-09-20T00:00:00,0000,20,8
30,5,CARD,CBADMCDJ,JOB00003,CARDUSR,A,2023-02-10T23:38:00,2023-02-11T00:00:00,0000,27,1
30,5,CARD,CBEXPORT,JOB00004,CARDUSR,A,2024-08-02T23:24:00,2024-08-03T00:00:00,0000,79,2
30,5,CARD,CBIMPORT,JOB00005,CARDUSR,A,2024-11-04T23:55:00,2024-11-05T00:00:00,0000,97,1
30,5,CARD,CBPAUP0J,JOB00006,CARDUSR,A,2021-01-05T23:20:00,2021-01-06T00:00:00,0000,74,1
30,5,CARD,CLOSEFIL,JOB00007,CARDUSR,A,2025-12-22T23:49:00,2025-12-23T00:00:00,0000,20,1
30,5,CARD,COMBTRAN,JOB00008,CARDUSR,A,2025-03-21T23:47:00,2025-03-22T00:00:00,0000,39,2
30,5,CARD,CREADB2,JOB00009,CARDUSR,A,2020-10-06T23:36:00,2020-10-07T00:00:00,0000,95,5
30,5,CARD,CREASTMT,JOB00010,CARDUSR,A,2025-07-05T23:42:00,2025-07-06T00:00:00,0000,110,5
30,5,CARD,CUSTFILE,JOB00011,CARDUSR,A,2026-07-28T23:40:00,2026-07-29T00:00:00,0000,51,5
30,5,CARD,DALYREJS,JOB00012,CARDUSR,A,2021-09-20T23:56:00,2021-09-21T00:00:00,0000,15,1
30,5,CARD,DBPAUTP0,JOB00013,CARDUSR,A,2025-02-04T23:58:00,2025-02-05T00:00:00,0000,101,2
30,5,CARD,DEFCUST,JOB00014,CARDUSR,A,2019-03-09T23:53:00,2019-03-10T00:00:00,0000,26,2
30,5,CARD,DEFGDGB,JOB00015,CARDUSR,A,2021-10-23T23:36:00,2021-10-24T00:00:00,0000,7,1
30,5,CARD,DEFGDGD,JOB00016,CARDUSR,A,2026-02-25T23:31:00,2026-02-26T00:00:00,0000,76,6
30,5,CARD,DEFGDGX,JOB00017,CARDUSR,A,2019-04-13T23:17:00,2019-04-14T00:00:00,0000,80,1
30,5,CARD,DISCGRP,JOB00018,CARDUSR,A,2022-04-27T23:23:00,2022-04-28T00:00:00,0000,36,3
30,5,CARD,DUSRSECJ,JOB00019,CARDUSR,A,2021-01-31T23:18:00,2021-02-01T00:00:00,0000,56,4
30,5,CARD,ESDSRRDS,JOB00020,CARDUSR,A,2020-09-05T23:34:00,2020-09-06T00:00:00,0000,17,6
30,5,CARD,FTPJCLS,JOB00021,CARDUSR,A,2024-12-23T23:49:00,2024-12-24T00:00:00,0000,40,1
30,5,CARD,INTCALC,JOB00022,CARDUSR,A,2026-04-23T23:21:00,2026-04-24T00:00:00,0000,70,1
30,5,CARD,INTRDRJ1,JOB00023,CARDUSR,A,2019-09-04T23:56:00,2019-09-05T00:00:00,0000,31,2
30,5,CARD,INTRDRJ2,JOB00024,CARDUSR,A,2022-07-13T23:48:00,2022-07-14T00:00:00,0000,56,1
30,5,CARD,LOADPADB,JOB00025,CARDUSR,A,2024-11-01T23:51:00,2024-11-02T00:00:00,0000,13,1
30,5,CARD,MNTTRDB2,JOB00026,CARDUSR,A,2018-11-22T23:45:00,2018-11-23T00:00:00,0000,31,1
30,5,CARD,OPENFIL,JOB00027,CARDUSR,A,2022-12-17T23:32:00,2022-12-18T00:00:00,0000,120,1
30,5,CARD,POSTTRAN,JOB00028,CARDUSR,A,2024-05-06T23:16:00,2024-05-07T00:00:00,0000,37,1
30,5,CARD,PRTCATBL,JOB00029,CARDUSR,A,2019-11-18T23:24:00,2019-11-19T00:00:00,0000,64,3
30,5,CARD,READACCT,JOB00030,CARDUSR,A,2024-06-08T23:21:00,2024-06-09T00:00:00,0000,18,2
30,5,CARD,READCARD,JOB00031,CARDUSR,A,2019-09-09T23:59:00,2019-09-10T00:00:00,0000,15,1
30,5,CARD,READCUST,JOB00032,CARDUSR,A,2021-02-26T23:24:00,2021-02-27T00:00:00,0000,103,1
30,5,CARD,READXREF,JOB00033,CARDUSR,A,2026-07-19T23:19:00,2026-07-20T00:00:00,0000,39,1
30,5,CARD,REPTFILE,JOB00034,CARDUSR,A,2021-07-19T23:43:00,2021-07-20T00:00:00,0000,2,1
30,5,CARD,TCATBALF,JOB00035,CARDUSR,A,2025-07-15T23:47:00,2025-07-16T00:00:00,0000,105,3
30,5,CARD,TRANBKP,JOB00036,CARDUSR,A,2026-05-28T23:18:00,2026-05-29T00:00:00,0000,72,3
30,5,CARD,TRANCATG,JOB00037,CARDUSR,A,2020-05-20T23:58:00,2020-05-21T00:00:00,0000,41,3
30,5,CARD,TRANEXTR,JOB00038,CARDUSR,A,2020-02-05T23:20:00,2020-02-06T00:00:00,0000,84,5
30,5,CARD,TRANFILE,JOB00039,CARDUSR,A,2024-12-24T23:36:00,2024-12-25T00:00:00,0000,37,8
